session_code,participant_id_in_session,participant_code,page_index,app_name,page_name,epoch_time,round_number,timeout_happened,is_wait_page
pqntdh2k,6,nlo4xyhg,2,survey,Intro,1605552825,1,0,0
morw9hf0,2,w4ytqlkk,4,survey,Part2,1605552826,1,0,0
pqntdh2k,2,kggjvibp,4,survey,Part2,1605552830,1,0,0
bnwhita6,1,d4bg9mk7,3,survey,Part1,1605552843,1,0,0
hap6zgo3,3,abtzr204,6,survey,Part4,1605552844,1,0,0
hap6zgo3,8,2coyn6vs,1,intro,Welcome,1605552846,1,0,0
morw9hf0,4,xkqb0ukb,5,survey,Part3,1605552847,1,0,0
hap6zgo3,6,m0c2chrw,3,survey,Part1,1605552847,1,0,0
hap6zgo3,8,2coyn6vs,2,survey,Intro,1605552848,1,0,0
hap6zgo3,4,tceg3h82,3,survey,Part1,1605552848,1,0,0
morw9hf0,3,p6lg7nm7,4,survey,Part2,1605552848,1,0,0
pqntdh2k,4,licb3t81,4,survey,Part2,1605552852,1,0,0
hap6zgo3,1,655c2l34,5,survey,Part3,1605552855,1,0,0
pqntdh2k,2,kggjvibp,5,survey,Part3,1605552856,1,0,0
hap6zgo3,5,fp3vawu4,3,survey,Part1,1605552857,1,0,0
pqntdh2k,1,0tq85pbh,6,survey,Part4,1605552863,1,0,0
hap6zgo3,3,abtzr204,7,display_matches_narrative,Intro,1605552867,1,0,0
morw9hf0,2,w4ytqlkk,5,survey,Part3,1605552867,1,0,0
morw9hf0,6,nv937tfn,3,survey,Part1,1605552869,1,0,0
bnwhita6,3,skexgddt,3,survey,Part1,1605552869,1,0,0
morw9hf0,3,p6lg7nm7,5,survey,Part3,1605552872,1,0,0
bnwhita6,7,2ch2eu7u,3,survey,Part1,1605552873,1,0,0
pqntdh2k,4,licb3t81,5,survey,Part3,1605552880,1,0,0
pqntdh2k,2,kggjvibp,6,survey,Part4,1605552884,1,0,0
hap6zgo3,8,2coyn6vs,3,survey,Part1,1605552884,1,0,0
pqntdh2k,3,rn4t4k3v,4,survey,Part2,1605552887,1,0,0
bnwhita6,10,vfvk3rlg,1,intro,Welcome,1605552890,1,0,0
hap6zgo3,2,wgoqf11t,4,survey,Part2,1605552891,1,0,0
bnwhita6,9,i7ll09ld,1,intro,Welcome,1605552891,1,0,0
bnwhita6,10,vfvk3rlg,2,survey,Intro,1605552891,1,0,0
hap6zgo3,3,abtzr204,8,display_matches_narrative,Task,1605552892,1,0,0
morw9hf0,4,xkqb0ukb,6,survey,Part4,1605552893,1,0,0
pqntdh2k,2,kggjvibp,7,display_matches_narrative,Intro,1605552893,1,0,0
hap6zgo3,4,tceg3h82,4,survey,Part2,1605552897,1,0,0
morw9hf0,3,p6lg7nm7,6,survey,Part4,1605552897,1,0,0
hap6zgo3,7,l1reowvo,4,survey,Part2,1605552898,1,0,0
bnwhita6,9,i7ll09ld,2,survey,Intro,1605552899,1,0,0
morw9hf0,3,p6lg7nm7,7,display_matches_narrative,Intro,1605552901,1,0,0
pqntdh2k,6,nlo4xyhg,3,survey,Part1,1605552906,1,0,0
pqntdh2k,4,licb3t81,6,survey,Part4,1605552908,1,0,0
hap6zgo3,3,abtzr204,9,ios_continuous,Intro,1605552909,1,0,0
bnwhita6,2,ixyuw6pl,2,survey,Intro,1605552911,1,0,0
bnwhita6,11,8vaspqqx,1,intro,Welcome,1605552912,1,0,0
bnwhita6,11,8vaspqqx,2,survey,Intro,1605552915,1,0,0
morw9hf0,4,xkqb0ukb,7,display_matches_narrative,Intro,1605552915,1,0,0
hap6zgo3,4,tceg3h82,5,survey,Part3,1605552917,1,0,0
bnwhita6,6,zgjjad4e,3,survey,Part1,1605552918,1,0,0
hap6zgo3,3,abtzr204,10,ios_continuous,Task,1605552920,1,0,0
